__v,_id,admin,biography,birth_date,createdAt,created_playlist_publication,email,followed_artist_publication,follower,gender,liked_album_publication,liked_featured_playlist_publication,liked_song_publication,password,profile_name,profile_picture,profile_publication,updatedAt,username,verified
0,62b3e7bc9c7896406da4bcf5,false,"Micheal Ray Stevenson, known professionally as Tyga, is an American rapper. After a number of independent releases, Tyga signed a recording contract with Young Money Entertainment, Cash Money Records and Republic Records in 2008.",1992-02-11T00:00:00.000Z,2022-06-23T04:10:36.545Z,false,tyga@gmail.com,false,15,Male,true,false,false,$2a$10$gPdcsSrupIh4SJwV0UlnTe6U../WZ1aKfh43veRyeu8Fo2pFybsA6,Tyga,1655957436406_83c9e3e41fb583278d5196c0f64e606e.png,false,2022-07-05T15:30:22.344Z,tyga,true
0,62b422b790f86a98f300b35c,true,,,2022-06-23T08:22:15.086Z,false,gauri1234@gmail.com,false,0,,false,false,false,$2a$10$XKzmv.0cWM9/4tEZcye6Cekt500cNfwHElLv46AVSiJaAnj0FGlOe,,,false,2022-06-23T08:22:15.086Z,gauri,false
0,62b433283c0660c8adc60206,false,,2001-08-31T00:00:00.000Z,2022-06-23T09:32:24.870Z,false,gaurisharma358@gmail.com,false,0,Male,true,false,false,$2a$10$E0ukgb9SN1Og7HBlMdNTlOG/w9k.y8EI8hveE7ygWSHnumvRIasM2,Gauri Shankar Sharma,joker-4k-digital-art-5v.jpg,false,2022-07-05T14:31:21.689Z,gaurishankar,false
0,62b70373bb2cab71b5f54763,false,"Sajjan Raj Vaidya is a Nepalese singer, songwriter, guitarist, composer and producer based in New York City. He released his debut single, ""Aaja Matra"", in 2014 and rose to prominence after the release of his singles ""Hawaijahaj"" and ""Chitthi Bhitra"". One of his most widely known singles is ""Hataarindai, Bataasindai"".",1991-09-10T00:00:00.000Z,2022-06-25T12:45:39.548Z,false,sajjan@gmail.com,false,12,Male,false,false,false,$2a$10$tGSlWXzxI3YofMoUBGLpyujbJhwuKOJZxbwbw8aOTBIkmoiaOyg1m,Sajjan Raj Vaidya,1656161137602_60492948_826825567716609_2428615139329186663_n.jpg,false,2022-07-05T13:40:47.486Z,sajjan,true
0,62b705dbbb2cab71b5f54973,false,Christopher John Cornell was an American singer and musician best known as the lead vocalist and rhythm guitarist for the rock bands Soundgarden and Audioslave. He also had a solo career and contributed to soundtracks.,1964-07-20T00:00:00.000Z,2022-06-25T12:55:55.812Z,false,chris@gmail.com,false,15,Male,false,false,false,$2a$10$yd34DFrGhXxMTgZZEpTaOePaU4dP9CmFeX5InxPS2YSlwaExBC36q,Chris Cornell,1656161755642_2-anos-sin-chris-cornell.jpg,false,2022-07-05T13:59:32.041Z,chris,true
0,62b71382ceeabb7eccc42449,false,"Slipknot is an American heavy metal band formed in Des Moines, Iowa, in 1995 by percussionist Shawn Crahan, drummer Joey Jordison and bassist Paul Gray.",1995-06-25T00:00:00.000Z,2022-06-25T13:54:10.509Z,false,slipknot@gmail.com,true,12,Other,true,false,true,$2a$10$m.ujSJwJf8e0PvNevdG56unxNUiMkOrROw3NsyVY7opJTdEzf6OaO,Slipknot,1656165249925_slipknot.jpg,false,2022-07-05T15:11:52.421Z,slipknot,true
0,62b3e09dc2becede183e62fd,false,"Sushant kc is a very talented Nepali singer and songwriter lives in Sydney, Australia. talking about his educational qualification, he completed his primary school education from Budhanilkantha School, Kathmandu.",1996-02-02T00:00:00.000Z,2022-06-23T03:40:13.491Z,false,sushant@gmail.com,false,11,Male,false,false,false,$2a$10$xwC.bgeA2WHWuMRt9jtqIO1ATmXBiopMcnbPB7byyB54Sbd3WnmDO,Sushant KC,1655955613371_sushant.jpg,false,2022-07-05T13:17:51.062Z,Sushant,true
0,62bee5746a514d7d5776f6e8,false,,1979-12-15T00:00:00.000Z,2022-07-01T12:15:48.619Z,false,User2@gmail.com,false,0,Male,false,false,false,$2a$10$/oSC.Ett8bvYlNhD8q8HUuf4Jekth5GMHkH8wnr8q9XrsRoGBzZAy,User,1656677743580_20220308_121045.jpg,false,2022-07-01T12:15:48.619Z,User2,false
0,62c12860f3c8d2611a4296c4,false,,2000-11-26T00:00:00.000Z,2022-07-03T05:25:52.233Z,false,testhalkhabar@gmail.com,false,0,Male,false,false,false,$2a$10$B8ZXY6P14taTVaPsZo9w5uWhfSLwukFtc3gNWsEoR3P.tfyTtyQs6,Anuragh Sarkar,1656825951565_received_3132738800318543.jpeg,false,2022-07-03T05:25:52.233Z,Anuraghsarkar,false
0,62c12861f3c8d2611a4296c8,false,Hshshdhdhdhdbd,1999-03-01T00:00:00.000Z,2022-07-03T05:25:53.775Z,false,songoku@gmail.com,false,0,Male,false,false,false,$2a$10$VU4LSt8p/TwDnOGoIYVD1OTVcmKEYaU9zk10bx3U3N1y.Khi6G2Nm,Songoku,1656825952368_22332_hd.jpg,false,2022-07-03T05:25:53.775Z,Songoku,false
